nohup: ignoring input
/home/ec2-user/.local/lib/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
2026-03-28 17:47:22,931 INFO Worker started — waiting for jobs from Redis queue...
2026-03-28 17:47:22,931 INFO Connected to Redis: rediss://master.code-compiler-redis.yjwc7i.aps1.cache.amazonaws.com:6379/0
2026-03-28 17:47:22,948 INFO Processing job | job_id=9bac9e4e-f538-497d-9931-05511e5a1481 | lang=python
2026-03-28 17:47:22,999 INFO CloudWatch logging initialized
2026-03-28 17:47:24,253 INFO Execution complete | lang=python | exit=0 | time=1.182s
2026-03-28 17:47:24,332 INFO S3 log uploaded | job_id=9bac9e4e-f538-497d-9931-05511e5a1481 | key=executions/2026/03/1/9bac9e4e-f538-497d-9931-05511e5a1481/log.json
2026-03-28 17:47:24,336 INFO Job complete | job_id=9bac9e4e-f538-497d-9931-05511e5a1481 | status=success | time=1.182s
2026-03-28 17:47:24,338 INFO Processing job | job_id=b89d6c27-04b9-4909-9dbc-bfc409338159 | lang=python
/home/ec2-user/.local/lib/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
2026-03-28 17:47:24,376 INFO CloudWatch logging initialized
2026-03-28 17:47:24,874 INFO Execution complete | lang=python | exit=0 | time=0.456s
2026-03-28 17:47:24,909 INFO S3 log uploaded | job_id=b89d6c27-04b9-4909-9dbc-bfc409338159 | key=executions/2026/03/1/b89d6c27-04b9-4909-9dbc-bfc409338159/log.json
2026-03-28 17:47:24,912 INFO Job complete | job_id=b89d6c27-04b9-4909-9dbc-bfc409338159 | status=success | time=0.456s
2026-03-28 17:47:24,915 INFO Processing job | job_id=43336ca9-c9fc-495b-ab1d-dcbd639649cc | lang=python
/home/ec2-user/.local/lib/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
2026-03-28 17:47:24,950 INFO CloudWatch logging initialized
2026-03-28 17:47:25,365 INFO Execution complete | lang=python | exit=0 | time=0.376s
2026-03-28 17:47:25,398 INFO S3 log uploaded | job_id=43336ca9-c9fc-495b-ab1d-dcbd639649cc | key=executions/2026/03/1/43336ca9-c9fc-495b-ab1d-dcbd639649cc/log.json
2026-03-28 17:47:25,401 INFO Job complete | job_id=43336ca9-c9fc-495b-ab1d-dcbd639649cc | status=success | time=0.376s
2026-03-28 17:47:55,416 INFO Queue empty — waiting...
2026-03-28 17:48:25,455 INFO Queue empty — waiting...
2026-03-28 17:48:33,787 INFO Processing job | job_id=609767a1-1acb-473d-9b20-58c3de26bc82 | lang=python
/home/ec2-user/.local/lib/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
2026-03-28 17:48:33,826 INFO CloudWatch logging initialized
2026-03-28 17:48:34,284 INFO Execution complete | lang=python | exit=0 | time=0.418s
2026-03-28 17:48:34,352 INFO S3 log uploaded | job_id=609767a1-1acb-473d-9b20-58c3de26bc82 | key=executions/2026/03/1/609767a1-1acb-473d-9b20-58c3de26bc82/log.json
2026-03-28 17:48:34,356 INFO Job complete | job_id=609767a1-1acb-473d-9b20-58c3de26bc82 | status=success | time=0.418s
2026-03-28 17:49:04,452 INFO Queue empty — waiting...
2026-03-28 17:49:15,599 INFO Processing job | job_id=6cb43059-274e-433c-b316-4d1295f66779 | lang=python
/home/ec2-user/.local/lib/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
2026-03-28 17:49:15,636 INFO CloudWatch logging initialized
2026-03-28 17:49:16,095 INFO Execution complete | lang=python | exit=0 | time=0.421s
2026-03-28 17:49:16,172 INFO S3 log uploaded | job_id=6cb43059-274e-433c-b316-4d1295f66779 | key=executions/2026/03/1/6cb43059-274e-433c-b316-4d1295f66779/log.json
2026-03-28 17:49:16,175 INFO Job complete | job_id=6cb43059-274e-433c-b316-4d1295f66779 | status=success | time=0.421s
2026-03-28 17:49:46,257 INFO Queue empty — waiting...
2026-03-28 17:50:16,285 INFO Queue empty — waiting...
2026-03-28 17:50:46,304 INFO Queue empty — waiting...
2026-03-28 17:51:16,324 INFO Queue empty — waiting...
2026-03-28 17:51:46,348 INFO Queue empty — waiting...
2026-03-28 17:52:16,382 INFO Queue empty — waiting...
2026-03-28 17:52:46,401 INFO Queue empty — waiting...
2026-03-28 17:53:16,418 INFO Queue empty — waiting...
2026-03-28 17:53:46,434 INFO Queue empty — waiting...
2026-03-28 17:54:16,484 INFO Queue empty — waiting...
2026-03-28 17:54:46,500 INFO Queue empty — waiting...
2026-03-28 17:55:16,520 INFO Queue empty — waiting...
2026-03-28 17:55:46,542 INFO Queue empty — waiting...
2026-03-28 17:56:16,580 INFO Queue empty — waiting...
2026-03-28 17:56:46,601 INFO Queue empty — waiting...
2026-03-28 17:57:16,620 INFO Queue empty — waiting...
2026-03-28 17:57:46,640 INFO Queue empty — waiting...
2026-03-28 17:58:16,665 INFO Queue empty — waiting...
2026-03-28 17:58:46,687 INFO Queue empty — waiting...
2026-03-28 17:59:16,706 INFO Queue empty — waiting...
2026-03-28 17:59:46,729 INFO Queue empty — waiting...
2026-03-28 18:00:16,782 INFO Queue empty — waiting...
2026-03-28 18:00:46,805 INFO Queue empty — waiting...
2026-03-28 18:01:16,831 INFO Queue empty — waiting...
2026-03-28 18:01:46,849 INFO Queue empty — waiting...
2026-03-28 18:02:16,873 INFO Queue empty — waiting...
2026-03-28 18:02:46,891 INFO Queue empty — waiting...
2026-03-28 18:03:16,918 INFO Queue empty — waiting...
2026-03-28 18:03:46,933 INFO Queue empty — waiting...
2026-03-28 18:04:16,954 INFO Queue empty — waiting...
